model,auroc,auprc,f1,mcc
LightGBM_Phase6b,0.9402,0.7645,0.7481,0.6979
LightGBM+Interaction,0.937910447761194,0.7777446690255205,0.703125,0.6463644199919198
XGBoost+Interaction,0.935752009184845,0.7372590525968192,0.6929133858267716,0.635141422474484
