model,auroc,auprc,f1,mcc
LightGBM_Phase3,0.8925,0.7132,0.6777,0.6247
Ensemble_Phase5b,0.8825,0.679,0.6917,0.6288
LightGBM+IfaceHC,0.8749942594718714,0.6439083103170589,0.32098765432098764,0.38734279800813587
XGBoost+IfaceHC,0.8941905855338691,0.7022442672963356,0.6238532110091743,0.5876655379881011
TargetAwareMLP+Aug,0.8485189437428244,0.5902553992494152,0.5217391304347826,0.4505907975726175
WeightedEnsemble_6a,0.8887715269804821,0.6880115444401448,0.6019417475728155,0.5830470813394393
CalibratedEnsemble_6a,0.8887715269804821,0.6880115444401448,0.6019417475728155,0.5830470813394393
CalibratedEnsemble_6a+PerTgt,0.8887715269804821,0.6880115444401448,0.6187050359712231,0.5371771169800666
