model,auroc,auprc,f1,mcc
LightGBM_Phase3,0.8925,0.7132,0.6777,0.6247
XGBoost_Phase3,0.8796,0.682,0.6066,0.5385
TargetAwareMLP_Phase5,0.8427,0.5613,0.528,0.4406
WeightedEnsemble,0.8825258323765786,0.6790160209068563,0.6608695652173913,0.6159761839475857
CalibratedEnsemble,0.8825258323765786,0.6790160209068563,0.6428571428571429,0.6018046095455644
CalibratedEnsemble_PerTgtThr,0.8825258323765786,0.6790160209068563,0.6917293233082706,0.6287793574358049
