model,auroc,auprc,f1,mcc
LightGBM_Phase3,0.8925,0.7132,0.6777,0.6247
XGBoost+IfaceHC_Phase6a,0.8942,0.7022,0.6239,0.5877
LightGBM+Proto,0.9401607347876004,0.7645296258748642,0.7480916030534351,0.6978512045271088
XGBoost+Proto,0.9403444316877152,0.7484877663356374,0.7301587301587301,0.680682530186193
ProtoTargetMLP,0.8820206659012629,0.6264189247979662,0.32558139534883723,0.3393026727995993
WeightedEnsemble_6b,0.9270723306544202,0.732942906101931,0.6896551724137931,0.648025982709052
CalibratedEnsemble_6b,0.9270723306544202,0.732942906101931,0.7008547008547008,0.6592926804893311
CalibratedEnsemble_6b+PerTgt,0.9270723306544202,0.732942906101931,0.7050359712230215,0.6421838140493084
