seed,model,val_auroc,val_auprc,test_auroc,test_auprc,test_f1,test_mcc
42,LGB,0.9320079883805374,0.7921575908771219,0.9393800229621125,0.7612413943424736,0.7286821705426356,0.6760706408213649
42,XGB,0.931190994916485,0.7838898823423948,0.9403444316877152,0.7484877663356374,0.7301587301587301,0.680682530186193
123,LGB,0.9283769063180828,0.7676908449850528,0.9290929965556831,0.7382518349811508,0.688,0.6315004495524869
123,XGB,0.9247458242556281,0.7747572632531914,0.937129735935706,0.7339912593309672,0.6935483870967742,0.6393501219225085
456,LGB,0.9325526506899057,0.7979233147372121,0.9429161882893227,0.7511012921910488,0.7086614173228346,0.6539632729137037
456,XGB,0.927060639070443,0.7727870461855219,0.9387370838117107,0.7488852996865385,0.704,0.6505866620601641
789,LGB,0.9338689179375455,0.796031848291707,0.942227324913892,0.7784646530469375,0.7286821705426356,0.6760706408213649
789,XGB,0.9299201161946259,0.7782181917700652,0.9316647531572905,0.7169609448872932,0.6875,0.6276693080139938
1337,LGB,0.9350944081336238,0.80571728144419,0.9439724454649827,0.7670013056684604,0.734375,0.6837546439477721
1337,XGB,0.9316902687000725,0.7875251657481003,0.9341905855338692,0.7250816077565967,0.6771653543307087,0.6163195720352644
